current, inductance
155.58,	-68.89
155.86,	-69.08
156.13,	-69.27
156.40,	-69.45
156.68,	-69.64
156.95,	-69.83
157.22,	-70.02
157.49,	-70.21
157.77,	-70.40
158.04,	-70.59
158.31,	-70.77
158.58,	-70.96
158.86,	-71.15
159.13,	-71.34
159.40,	-71.53
159.67,	-71.72
159.95,	-71.91
160.22,	-72.10
160.49,	-72.29
160.76,	-72.47
161.04,	-72.66
161.31,	-72.85
161.58,	-73.04
161.86,	-73.23
162.13,	-73.42
162.40,	-73.61
162.67,	-73.80
162.95,	-73.99
163.22,	-74.18
163.49,	-74.37
163.76,	-74.56
164.04,	-74.75
164.31,	-74.94
164.58,	-75.12
164.85,	-75.31
165.13,	-75.50
165.40,	-75.69
165.67,	-75.88
165.94,	-76.07
166.22,	-76.26
166.49,	-76.45
166.76,	-76.64
167.04,	-76.83
167.31,	-77.02
167.58,	-77.21
167.85,	-77.40
168.13,	-77.59
168.40,	-77.78
168.67,	-77.97
168.94,	-78.16
169.22,	-78.35
169.49,	-78.54
169.76,	-78.73
170.03,	-78.92
170.31,	-79.11
170.58,	-79.30
170.85,	-79.49
171.13,	-79.68
171.40,	-79.87
171.67,	-80.06
171.94,	-80.25
172.22,	-80.44
172.49,	-80.63
172.76,	-80.83
173.03,	-81.02
173.31,	-81.21
173.58,	-81.40
173.85,	-81.59
174.12,	-81.78
174.40,	-81.97
174.67,	-82.16
174.94,	-82.35
175.21,	-82.54
175.49,	-82.73
175.76,	-82.92
176.03,	-83.11
176.31,	-83.30
176.58,	-83.49
176.85,	-83.69
177.12,	-83.88
177.40,	-84.07
177.67,	-84.26
177.94,	-84.45
178.21,	-84.64
178.49,	-84.83
178.76,	-85.02
179.03,	-85.21
179.30,	-85.40
179.58,	-85.60
179.85,	-85.79
180.12,	-85.98
180.39,	-86.17
180.67,	-86.36
180.94,	-86.55
181.21,	-86.74
181.49,	-86.93
181.76,	-87.13
182.03,	-87.32
182.30,	-87.51
182.58,	-87.70
182.85,	-87.89
183.12,	-88.08
183.39,	-88.27
183.67,	-88.47
183.94,	-88.66
184.21,	-88.85
184.48,	-89.04
184.76,	-89.23
185.03,	-89.42
185.30,	-89.62
185.57,	-89.81
185.85,	-90.00
186.12,	-90.19
186.39,	-90.38
186.67,	-90.57
186.94,	-90.77
187.21,	-90.96
187.48,	-91.15
187.76,	-91.34
188.03,	-91.53
188.30,	-91.73
188.57,	-91.92
188.85,	-92.11
189.12,	-92.30
189.39,	-92.49
189.66,	-92.69
189.94,	-92.88
190.21,	-93.07
190.48,	-93.26
190.75,	-93.45
191.03,	-93.65
191.30,	-93.84
191.57,	-94.03
191.85,	-94.22
192.12,	-94.41
192.39,	-94.61
192.66,	-94.80
192.94,	-94.99
193.21,	-95.18
193.48,	-95.38
193.75,	-95.57
194.03,	-95.76
194.30,	-95.95
194.57,	-96.14
194.84,	-96.34
195.12,	-96.53
195.39,	-96.72
195.66,	-96.91
195.93,	-97.11
196.21,	-97.30
196.48,	-97.49
196.75,	-97.68
197.03,	-97.88
197.30,	-98.07
197.57,	-98.26
197.84,	-98.46
198.12,	-98.65
198.39,	-98.84
198.66,	-99.03
198.93,	-99.23
199.21,	-99.42
199.48,	-99.61
199.75,	-99.80
200.02,	-100.00
200.30,	-100.19
200.57,	-100.38
200.84,	-100.58
201.12,	-100.77
201.39,	-100.96
201.66,	-101.15
201.93,	-101.35
202.21,	-101.54
202.48,	-101.73
202.75,	-101.93
203.02,	-102.12
203.30,	-102.31
203.57,	-102.50
203.84,	-102.70
204.11,	-102.89
204.39,	-103.08
204.66,	-103.28
204.93,	-103.47
205.20,	-103.66
205.48,	-103.86
205.75,	-104.05
206.02,	-104.24
206.30,	-104.44
206.57,	-104.63
206.84,	-104.82
207.11,	-105.02
207.39,	-105.21
207.66,	-105.40
207.93,	-105.60
208.20,	-105.79
208.48,	-105.98
208.75,	-106.18
209.02,	-106.37
209.29,	-106.56
209.57,	-106.76
209.84,	-106.95
210.11,	-107.14
210.38,	-107.34
210.66,	-107.53
210.93,	-107.72
211.20,	-107.92
211.48,	-108.11
211.75,	-108.30
212.02,	-108.50
212.29,	-108.69
212.57,	-108.89
212.84,	-109.08
213.11,	-109.27
213.38,	-109.47
213.66,	-109.66
213.93,	-109.85
214.20,	-110.05
214.47,	-110.24
214.75,	-110.43
215.02,	-110.63
215.29,	-110.82
215.56,	-111.02
215.84,	-111.21
216.11,	-111.40
216.38,	-111.60
216.66,	-111.79
216.93,	-111.99
