Time, B_0_0_RRR_100, B_3_0_RRR_100, B_0_0_RRR_200, B_3_0_RRR_200
1.170000000000000000e+02,4.940002526080309750e-09,5.000029372819681729e-09,4.828842521984068491e-09,4.888973869451456414e-09
1.180000000000000000e+02,5.013223395869475298e-09,5.073185494563746418e-09,4.902038762565482077e-09,4.962100442898250567e-09
1.190000000000000000e+02,5.086349833693161449e-09,5.146250379249691065e-09,4.975141315736965825e-09,5.035136694018472352e-09
1.200000000000000000e+02,5.159378324375871865e-09,5.219220399478579482e-09,5.048146634236249032e-09,5.108078955355372923e-09
1.210000000000000000e+02,5.232305763126418286e-09,5.292092342912751250e-09,5.121051582880535941e-09,5.180923976655223518e-09
1.220000000000000000e+02,5.305129430542552319e-09,5.364863387084500214e-09,5.193853413468671367e-09,5.253668899545367242e-09
1.230000000000000000e+02,5.377846968671336943e-09,5.437531075267198643e-09,5.266549740745861992e-09,5.326311233283464783e-09
1.240000000000000000e+02,5.450456358117389589e-09,5.510093293400994777e-09,5.339138519422605448e-09,5.398848831569424028e-09
1.250000000000000000e+02,5.522955896186324378e-09,5.582548248060384901e-09,5.411618022234705603e-09,5.471279870406738140e-09
1.260000000000000000e+02,5.595344176046493409e-09,5.654894445446651424e-09,5.483986819027049589e-09,5.543602826995704167e-09
1.270000000000000000e+02,5.667620066888618048e-09,5.727130671384711655e-09,5.556243756840360347e-09,5.615816459637558096e-09
1.280000000000000000e+02,5.739782695059997804e-09,5.799255972300908471e-09,5.628387940977244167e-09,5.687919788625591058e-09
1.290000000000000000e+02,5.811831426147573946e-09,5.871269637155900951e-09,5.700418717021496046e-09,5.759912078097017624e-09
1.300000000000000000e+02,5.883765847982263875e-09,5.943171180304933666e-09,5.772335653782757949e-09,5.831792818817433159e-09
1.310000000000000000e+02,5.955585754535453629e-09,6.014960325256187534e-09,5.844138527137133598e-09,5.903561711868227324e-09
1.320000000000000000e+02,6.027291130677487852e-09,6.086636989296908490e-09,5.915827304733354318e-09,5.975218653206315788e-09
1.330000000000000000e+02,6.098882137767177677e-09,6.158201268956151590e-09,5.987402131533249162e-09,6.046763719064696893e-09
1.340000000000000000e+02,6.170359100040915975e-09,6.229653426272548040e-09,6.058863316154897044e-09,6.118197152161950421e-09
1.350000000000000000e+02,6.241722491769733025e-09,6.300993875835251174e-09,6.130211317986584648e-09,6.189519348688602068e-09
1.360000000000000000e+02,6.312972925152609104e-09,6.372223172566197571e-09,6.201446735039689736e-09,6.260730846038182899e-09
