Time, diff_strand
3.519999999999996021e+01, 3.008801196395055784e-03
3.539999999999996305e+01, 2.951472683256108932e-03
3.559999999999996589e+01, 2.895467628829100429e-03
3.579999999999996874e+01, 2.840751047544744917e-03
3.599999999999997158e+01, 2.787289042315913880e-03
3.619999999999997442e+01, 2.735048761123868698e-03
3.639999999999997726e+01, 2.683998355745319427e-03
3.659999999999998010e+01, 2.634106942583064759e-03
3.679999999999998295e+01, 2.585344565561326774e-03
3.699999999999998579e+01, 2.537682161038424221e-03
3.719999999999998863e+01, 2.491091524679784393e-03
3.739999999999999147e+01, 2.445545280230155844e-03
3.759999999999999432e+01, 2.401016850106158385e-03
3.779999999999999716e+01, 2.357480427725625223e-03
3.800000000000000000e+01, 2.314910951475531060e-03
3.820000000000000284e+01, 2.273284080215425863e-03
3.840000000000000568e+01, 2.232576170203689255e-03
3.860000000000000853e+01, 2.192764253328902818e-03
3.880000000000001137e+01, 2.153826016528147085e-03
3.900000000000001421e+01, 2.115739782268716545e-03
3.920000000000001705e+01, 2.078484489977765193e-03
3.940000000000001990e+01, 2.042039678303176047e-03
3.960000000000002274e+01, 2.006385468097036245e-03
3.980000000000002558e+01, 1.971502546023194517e-03
4.000000000000002842e+01, 1.937372148692998158e-03
4.020000000000003126e+01, 1.903976047252492433e-03
4.040000000000003411e+01, 1.871296532346782698e-03
4.060000000000003695e+01, 1.839316399403601249e-03
4.080000000000003979e+01, 1.808018934188358609e-03
4.100000000000004263e+01, 1.777387898590502635e-03
4.120000000000004547e+01, 1.747407516617259906e-03
4.140000000000004832e+01, 1.718062460573599676e-03
4.160000000000005116e+01, 1.689337837420736444e-03
4.180000000000005400e+01, 1.661219175310708245e-03
4.200000000000005684e+01, 1.633692410301341470e-03
4.220000000000005969e+01, 1.606743873260058986e-03
4.240000000000006253e+01, 1.580360276971332642e-03
4.260000000000006537e+01, 1.554528703463156983e-03
4.280000000000006821e+01, 1.529236591571189177e-03
4.300000000000007105e+01, 1.504471724759963913e-03
4.320000000000007390e+01, 1.480222219220150284e-03
4.340000000000007674e+01, 1.456476512261106098e-03
4.360000000000007958e+01, 1.433223351017269033e-03
4.380000000000008242e+01, 1.410451781482073563e-03
4.400000000000008527e+01, 1.388151137887184104e-03
4.420000000000008811e+01, 1.366311032435400113e-03
4.440000000000009095e+01, 1.344921345398414087e-03
4.460000000000009379e+01, 1.323972215586361346e-03
4.480000000000009663e+01, 1.303454031192279126e-03
4.500000000000009948e+01, 1.283357421013852631e-03
4.520000000000010232e+01, 1.263673246051679128e-03
4.540000000000010516e+01, 1.244392591480827188e-03
4.560000000000010800e+01, 1.225506758990337931e-03
4.580000000000011084e+01, 1.207007259483616844e-03
4.600000000000011369e+01, 1.188885806131622378e-03
4.620000000000011653e+01, 1.171134307767162774e-03
4.640000000000011937e+01, 1.153744862610104607e-03
4.660000000000012221e+01, 1.136709752310207907e-03
4.680000000000012506e+01, 1.120021436294471161e-03
4.700000000000012790e+01, 1.103672546405122306e-03
4.720000000000013074e+01, 1.087655881813813681e-03
