time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.4925,	0.26250,	80.2530,	3.7901E-02, 	3.0416E+00, 	21.075
0.4950,	0.26500,	80.1264,	3.9403E-02, 	3.1572E+00, 	21.194
0.4975,	0.26750,	80.0000,	4.0846E-02, 	3.2677E+00, 	21.312
0.5000,	0.27000,	79.8864,	4.2503E-02, 	3.3954E+00, 	21.429
0.5025,	0.27250,	79.7730,	4.3986E-02, 	3.5089E+00, 	21.545
0.5050,	0.27500,	79.6596,	4.5663E-02, 	3.6375E+00, 	21.661
0.5075,	0.27750,	79.5464,	4.7219E-02, 	3.7561E+00, 	21.776
0.5100,	0.28000,	79.4333,	4.8839E-02, 	3.8794E+00, 	21.890
0.5125,	0.28250,	79.3204,	5.0372E-02, 	3.9955E+00, 	22.004
0.5150,	0.28500,	79.2075,	5.2049E-02, 	4.1227E+00, 	22.118
0.5175,	0.28750,	79.0948,	5.3527E-02, 	4.2337E+00, 	22.231
0.5200,	0.29000,	78.9823,	5.5223E-02, 	4.3616E+00, 	22.343
0.5225,	0.29250,	78.8698,	5.6774E-02, 	4.4778E+00, 	22.454
0.5250,	0.29500,	78.7575,	5.8574E-02, 	4.6132E+00, 	22.565
0.5275,	0.29750,	78.6452,	6.0215E-02, 	4.7356E+00, 	22.675
0.5300,	0.30000,	78.5207,	6.2162E-02, 	4.8810E+00, 	22.784
0.5325,	0.30250,	78.4087,	6.3765E-02, 	4.9998E+00, 	22.892
0.5350,	0.30500,	78.2844,	6.5669E-02, 	5.1409E+00, 	22.999
0.5375,	0.30750,	78.1727,	6.7209E-02, 	5.2539E+00, 	23.106
0.5400,	0.31000,	78.0487,	6.9125E-02, 	5.3951E+00, 	23.211
0.5425,	0.31250,	77.9372,	7.0651E-02, 	5.5063E+00, 	23.316
0.5450,	0.31500,	77.8135,	7.2571E-02, 	5.6470E+00, 	23.419
0.5475,	0.31750,	77.7024,	7.4190E-02, 	5.7647E+00, 	23.522
0.5500,	0.32000,	77.5789,	7.6108E-02, 	5.9044E+00, 	23.624
0.5525,	0.32250,	77.4680,	7.7878E-02, 	6.0330E+00, 	23.725
0.5550,	0.32500,	77.3449,	7.9725E-02, 	6.1663E+00, 	23.825
0.5575,	0.32750,	77.2342,	8.1643E-02, 	6.3056E+00, 	23.925
0.5600,	0.33000,	77.1236,	8.3564E-02, 	6.4448E+00, 	24.023
0.5625,	0.33250,	77.0131,	8.5393E-02, 	6.5764E+00, 	24.121
0.5650,	0.33500,	76.8905,	8.7361E-02, 	6.7172E+00, 	24.218
0.5675,	0.33750,	76.7803,	8.9157E-02, 	6.8455E+00, 	24.314
0.5700,	0.34000,	76.6702,	9.1197E-02, 	6.9921E+00, 	24.410
0.5725,	0.34250,	76.5602,	9.3003E-02, 	7.1204E+00, 	24.505
0.5750,	0.34500,	76.4503,	9.5071E-02, 	7.2682E+00, 	24.599
0.5775,	0.34750,	76.3405,	9.6803E-02, 	7.3900E+00, 	24.693
0.5800,	0.35000,	76.2308,	9.8889E-02, 	7.5384E+00, 	24.785
0.5825,	0.35250,	76.1213,	1.0077E-01, 	7.6705E+00, 	24.877
0.5850,	0.35500,	75.9996,	1.0270E-01, 	7.8051E+00, 	24.969
0.5875,	0.35750,	75.8904,	1.0305E-01, 	7.8204E+00, 	25.058
0.5900,	0.36000,	75.7813,	1.0497E-01, 	7.9545E+00, 	25.146
0.5925,	0.36250,	75.6723,	1.0708E-01, 	8.1033E+00, 	25.234
0.5950,	0.36500,	75.5634,	1.0892E-01, 	8.2304E+00, 	25.321
