time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.6125, 	0.3425, 	76.7387,	0.06904,    5.29818,	24.54318
0.6150, 	0.3450, 	76.6179,	0.07059,    5.40841,	24.62413
0.6175, 	0.3475, 	76.5094,	0.07220,    5.52424,	24.70449
0.6200, 	0.3500, 	76.3890,	0.07370,    5.62976,	24.78431
0.6225, 	0.3525, 	76.2807,	0.07533,    5.74624,	24.86355
0.6250, 	0.3550, 	76.1606,	0.07682,    5.85052,	24.94226
0.6275, 	0.3575, 	76.0527,	0.07826,    5.95215,	25.02041
0.6300, 	0.3600, 	75.9329,	0.07995,    6.07085,	25.09804
0.6325, 	0.3625, 	75.8253,	0.08022,    6.08253,	25.17385
0.6350, 	0.3650, 	75.7059,	0.08175,    6.18860,	25.24881
0.6375, 	0.3675, 	75.5986,	0.08318,    6.28819,	25.32323
0.6400, 	0.3700, 	75.4914,	0.08451,    6.37976,	25.39712
0.6425, 	0.3725, 	75.3844,	0.08622,    6.49967,	25.47050
0.6450, 	0.3750, 	75.2775,	0.08753,    6.58868,	25.54337
0.6475, 	0.3775, 	75.1707,	0.08924,    6.70854,	25.61573
0.6500, 	0.3800, 	75.0641,	0.09058,    6.79951,	25.68761
0.6525, 	0.3825, 	74.9576,	0.09222,    6.91245,	25.75899
0.6550, 	0.3850, 	74.8512,	0.09360,    7.00637,	25.82988
0.6575, 	0.3875, 	74.7450,	0.09510,    7.10791,	25.90030
0.6600, 	0.3900, 	74.6388,	0.09664,    7.21311,	25.97025
0.6625, 	0.3925, 	74.5329,	0.09820,    7.31877,	26.03972
0.6650, 	0.3950, 	74.4270,	0.09967,    7.41830,	26.10873
0.6675, 	0.3975, 	74.3213,	0.10137,    7.53387,	26.17728
0.6700, 	0.4000, 	74.2157,	0.10270,    7.62197,	26.24537
0.6725, 	0.4025, 	74.1102,	0.10419,    7.72190,	26.31301
0.6750, 	0.4050, 	74.0049,	0.10571,    7.82320,	26.38020
0.6775, 	0.4075, 	73.8997,	0.10714,    7.91790,	26.44696
0.6800, 	0.4100, 	73.7829,	0.10870,    8.01997,	26.51329
0.6825, 	0.4125, 	73.6780,	0.11015,    8.11534,	26.57917
0.6850, 	0.4150, 	73.5615,	0.11169,    8.21606,	26.64464
0.6875, 	0.4175, 	73.4569,	0.11318,    8.31380,	26.70966
0.6900, 	0.4200, 	73.3408,	0.11473,    8.41422,	26.77428
0.6925, 	0.4225, 	73.2364,	0.11632,    8.51852,	26.83847
0.6950, 	0.4250, 	73.1206,	0.11797,    8.62602,	26.90226
0.6975, 	0.4275, 	73.0165,	0.11951,    8.72615,	26.96564
0.7000, 	0.4300, 	72.9010,	0.12103,    8.82352,	27.02862
0.7025, 	0.4325, 	72.7972,	0.12262,    8.92635,	27.09120
0.7050, 	0.4350, 	72.6820,	0.12411,    9.02027,	27.15340
0.7075, 	0.4375, 	72.5785,	0.12572,    9.12455,	27.21519
0.7100, 	0.4400, 	72.4636,	0.12720,    9.21761,	27.27662
0.7125, 	0.4425, 	72.3604,	0.12871,    9.31340,	27.33766
0.7150, 	0.4450, 	72.2458,	0.13028,    9.41212,	27.39833
0.7175, 	0.4475, 	72.1429,	0.13166,    9.49856,	27.45862
0.7200, 	0.4500, 	72.0401,	0.13334,    9.60586,	27.51855
0.7225, 	0.4525, 	71.9374,	0.13487,    9.70199,	27.57813
0.7250, 	0.4550, 	71.8234,	0.13657,    9.80858,	27.63736
0.7275, 	0.4575, 	71.7210,	0.13812,    9.90589,	27.69622
0.7300, 	0.4600, 	71.6187,	0.13982,    10.01382,	27.75474
0.7325, 	0.4625, 	71.5166,	0.14134,    10.10825,	27.81292
0.7350, 	0.4650, 	71.4145,	0.14292,    10.20645,	27.87077
0.7375, 	0.4675, 	71.3126,	0.14447,    10.30243,	27.92828
0.7400, 	0.4700, 	71.2109,	0.14631,    10.41907,	27.98546
0.7425, 	0.4725, 	71.1092,	0.14793,    10.51934,	28.04232
0.7450, 	0.4750, 	71.0077,	0.14970,    10.62959,	28.09886
0.7475, 	0.4775, 	70.9063,	0.15135,    10.73149,	28.15507
0.7500, 	0.4800, 	70.8050,	0.15309,    10.83959,	28.21098
0.7525, 	0.4825, 	70.7038,	0.15477,    10.94266,	28.26656
0.7550, 	0.4850, 	70.6028,	0.15645,    11.04603,	28.32184
0.7575, 	0.4875, 	70.5018,	0.15831,    11.16108,	28.37681
0.7600, 	0.4900, 	70.3898,	0.15996,    11.25965,	28.43149
0.7625, 	0.4925, 	70.2892,	0.16163,    11.36074,	28.48584
0.7650, 	0.4950, 	70.1775,	0.16333,    11.46224,	28.53989
0.7675, 	0.4975, 	70.0771,	0.16517,    11.57460,	28.59363
0.7700, 	0.5000, 	69.9657,	0.16690,    11.67724,	28.64708
0.7725, 	0.5025, 	69.8655,	0.16869,    11.78584,	28.70022
0.7750, 	0.5050, 	69.7544,	0.17039,    11.88536,	28.75307
0.7775, 	0.5075, 	69.6546,	0.17208,    11.98614,	28.80562
0.7800, 	0.5100, 	69.5438,	0.17394,    12.09612,	28.85789
0.7825, 	0.5125, 	69.4442,	0.17566,    12.19878,	28.90985
0.7850, 	0.5150, 	69.3337,	0.17739,    12.29917,	28.96154
0.7875, 	0.5175, 	69.2344,	0.17925,    12.41058,	29.01293
0.7900, 	0.5200, 	69.1242,	0.18085,    12.50101,	29.06406
0.7925, 	0.5225, 	69.0252,	0.18259,    12.60346,	29.11491
0.7950, 	0.5250, 	68.9263,	0.18403,    12.68471,	29.16551
0.7975, 	0.5275, 	68.8275,	0.18581,    12.78909,	29.21586
0.8000, 	0.5300, 	68.7289,	0.18739,    12.87900,	29.26596
0.8025, 	0.5325, 	68.6304,	0.18889,    12.96368,	29.31581
0.8050, 	0.5350, 	68.5321,	0.19048,    13.05398,	29.36542
0.8075, 	0.5375, 	68.4338,	0.19199,    13.13866,	29.41477
0.8100, 	0.5400, 	68.3358,	0.19343,    13.21796,	29.46389
0.8125, 	0.5425, 	68.2379,	0.19467,    13.28376,	29.51276
0.8150, 	0.5450, 	68.1401,	0.19611,    13.36308,	29.56138
0.8175, 	0.5475, 	68.0425,	0.19741,    13.43240,	29.60977
0.8200, 	0.5500, 	67.9341,	0.19875,    13.50178,	29.65793
0.8225, 	0.5525, 	67.8368,	0.20005,    13.57042,	29.70583
0.8250, 	0.5550, 	67.7397,	0.20129,    13.63531,	29.75349
0.8275, 	0.5575, 	67.6427,	0.20262,    13.70567,	29.80092
0.8300, 	0.5600, 	67.5459,	0.20378,    13.76471,	29.84812
0.8325, 	0.5625, 	67.4492,	0.20504,    13.82981,	29.89509
0.8350, 	0.5650, 	67.3419,	0.20628,    13.89130,	29.94183
0.8375, 	0.5675, 	67.2455,	0.20748,    13.95188,	29.98833
0.8400, 	0.5700, 	67.1386,	0.20867,    14.00984,	30.03461
0.8425, 	0.5725, 	67.0426,	0.20994,    14.07512,	30.08065
0.8450, 	0.5750, 	66.9360,	0.21106,    14.12782,	30.12646
0.8475, 	0.5775, 	66.8403,	0.21223,    14.18565,	30.17204
0.8500, 	0.5800, 	66.7341,	0.21343,    14.24288,	30.21740
0.8525, 	0.5825, 	66.6387,	0.21467,    14.30533,	30.26253
0.8550, 	0.5850, 	66.5329,	0.21585,    14.36098,	30.30745
